Year,Trend,Search
1980s, Tailoring, 52,500,000
1980s, Tights, 372,000,000
1980s, Bold Buttons, 37,400,000
1980s, Leggings, 510,000,000
1980s, Tassels, 11,900,000
1980s, Graphic Tees, 1,980,000,000
1980s, Oversized Denim Jacket, 63,100,000
1980s, Geek-Chic Glasses, 5,870,000
1980s, Gloves, 1,390,000,000
1980s, Skirt Suits, 80,800,000
1990s, Animal-Print, 1,260,000,000
1990s, Blush Pink, 665,000,000
1990s, Sheer Fabric, 226,000,000
1990s, Velvet, 500,000,000
1990s, Chainmail, 17,800,000
1990s, Corset, 165,000,000
1990s, Slip Dress, 361,000,000
1990s, Printed Leggings, 51,100,000
1990s, Teeny-Tiny Bags, 13,100,000
1990s, Strappy Heels, 66,800,000
1990s, Bucket Hats, 43,800,000
1990s, Leather Blazers, 47,900,000
1990s, Combat Trousers, 19,900,000
1990s, Vests, 1,060,000,000
1990s, Oval Sunglasses, 38,100,000
1990s, Tube Tops, 309,000,000
1990s, Beanies, 463,000,000
1990s, Bomber Jackets, 53,800,000
1990s, Fanny Packs, 18,000,000
1990s, Plaid Flannel Shirt, 24,300,000
1990s, Timberlands, 80,200,000
1990s, Platform Sneakers, 114,000,000
1990s, Penny Loafers, 8,540,000
1990s, Overalls, 4,700,000,000
1990s, Chinos, 892,000,000
1990s, Chokers, 94,900,000
1990s, Camis, 197,000,000
1990s, Track Pants, 330,000,000
1990s, Baggy Jeans, 99,000,000
1990s, Blazer, 1,800,000,000
2000s, Cargo Pants, 156,000,000
2000s, Baguette Bag, 26,400,000
2000s, Baby Tees, 702,000,000
2000s, Wedge Mules, 14,500,000
2000s, Lime Green, 781,000,000
2000s, Mesh, 1,430,000,000
2000s, Handkerchief Tops, 7,800,000
2000s, Box-Pleated Skirt, 18,700,000
2000s, Shiny Pants, 57,000,000
2000s, Low-Rise Jeans, 355,000,000
2000s, Daisy Dukes, 11,400,000
2000s, Ribbed Sweater, 51,700,000
2000s, Platform Sandals, 58,500,000
2000s, Polo Shirts, 229,000,000
2000s, Flip Flops, 113,000,000
2000s, Aviator Sunglasses, 48,100,000
2000s, Ballet Flats, 18,900,000
2000s, Juicy Couture, 21,000,000
2000s, Bubble Skirt, 66,600,000
2000s, Sweater Dresses, 91,600,000
2000s, Acid-Washed Jeans, 12,600,000
2000s, Gladiator Sandals, 9,160,000
2000s, Converse, 445,000,000
2000s, Bandage Dress, 61,600,000
2000s, Peep-Toe Pumps, 21,600,000
2000s, Knit Hats, 44,700,000
2000s, Ruched Tops, 18,500,000
2000s, Uggs, 70,400,000
2000s, Von Dutch Hat, 95,700,000
2000s, Skinny Scarf, 21,200,000
2010s, Hipster, 196,000,000
2010s, Athleisure, 28,300,000
2010s, Streetwear, 82,500,000
2010s, Normcore, 4,530,000
2010s, Logomania, 3,130,000
2010s, Festival Fashion, 1,200,000,000
2010s, Dad Sneakers, 105,000,000
2010s, Mini Bags, 1,300,000,000
2010s, Bomber Jacket, 52,800,000
2010s, Wedge Sneakers, 22,400,000
2010s, Skinny Jeans, 214,000,000
2010s, Mom Jeans, 506,000,000
2010s, Bike Shorts, 275,000,000
2010s, Super Small Sunnies, 1,420,000
2010s, Mansur Gavriel, 5,660,000
2010s, Scandi, 9,030,000
2010s, Millennial Pink, 69,600,000
2010s, Monochrome, 2,890,000,000
2010s, PVC Heels, 24,100,000
2010s, Cropped Cardigan, 26,000,000
2010s, Galaxy Tights, 17,700,000
2010s, High-Low Skirts, 98,500,000
2010s, Chevron Prints, 12,400,000
2010s, Peplum Tops, 11,700,000
2010s, Skater Skirts, 15,400,000
2010s, Hawaiian Shirts, 26,900,000
2010s, Fringe, 301,000,000
2010s, Cocktail Rings, 65,900,000
2010s, Flower Crowns, 21,000,000
2010s, Ankle Boots, 208,000,000
